id,userId,createdAt,updatedAt,category,rawText,normalizedText,lexicalText,status
e1ced02e-1962-4a3c-9b15-447989beab40,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-25T20:28:10.599Z,2026-05-26T11:49:48.248Z,memory,Ich bin Alex,Ich bin Alex,ich bin alex,
9825358a-9682-4d5c-8c6f-9d84c4488602,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-25T20:27:53.257Z,2026-05-26T11:49:48.248Z,observation,"Hallo, man kann jetzt reinsprechen und man sieht an diesem Balken, wie viel Ton ankommt. Hallo!","Hallo, man kann jetzt reinsprechen und man sieht an diesem Balken, wie viel Ton ankommt. Hallo!","hallo, man kann jetzt reinsprechen und man sieht an diesem balken, wie viel ton ankommt. hallo!",
c90e51f3-57a9-4145-83e9-0be44e365fbb,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-25T15:37:41.659Z,2026-05-26T11:49:48.248Z,task,"Kannst du mich bitte später daran erinnern, also heute Abend daran erinnern, dass ich unbedingt die UX noch mal ändern muss für die Capture, weil der Nutzer kriegt gerade überhaupt gar kein Feedback mehr. Ich weiß auch nicht, wie das passiert ist.","Kannst du mich bitte später daran erinnern, also heute Abend daran erinnern, dass ich unbedingt die UX noch mal ändern muss für die Capture, weil der Nutzer kriegt gerade überhaupt gar kein Feedback mehr. Ich weiß auch nicht, wie das passiert ist.","kannst du mich bitte später daran erinnern, also heute abend daran erinnern, dass ich unbedingt die ux noch mal ändern muss für die capture, weil der nutzer kriegt gerade überhaupt gar kein feedback mehr. ich weiß auch nicht, wie das passiert ist.",
807e6e54-d9d1-4fd1-a78d-abf74f548117,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-25T15:36:46.090Z,2026-05-26T11:49:48.248Z,task,"Die Nudel ist heute ein Stinkbär, und bitte erinnere mich heute Abend daran, sie zu beißen.","Die Nudel ist heute ein Stinkbär, und bitte erinnere mich heute Abend daran, sie zu beißen.","die nudel ist heute ein stinkbär, und bitte erinnere mich heute abend daran, sie zu beißen.",
21052707-5df8-472d-837f-37f7e50686f8,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-24T19:49:20.230Z,2026-05-26T11:49:48.248Z,idea,Lena möchte beta-glucan ausprobieren,Lena möchte beta-glucan ausprobieren,lena möchte beta-glucan ausprobieren,
6b1f5ba4-e88d-454a-bf3b-90ef6b381347,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-24T15:56:46.071Z,2026-05-26T11:49:48.248Z,memory,Hallo ich bin gerade bei Anni und clemi und kannst du dir bitte merken dass Anni meine Schwester ist und clemi ihr Mann,Hallo ich bin gerade bei Anni und clemi und kannst du dir bitte merken dass Anni meine Schwester ist und clemi ihr Mann,hallo ich bin gerade bei anni und clemi und kannst du dir bitte merken dass anni meine schwester ist und clemi ihr mann,
44b8eb35-b009-4d2c-9d47-e03b1c8d8781,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-24T15:19:15.487Z,2026-05-26T11:49:48.248Z,feeling,Ich habe annie lieb Annie meine Schwester,Ich habe annie lieb Annie meine Schwester,ich habe annie lieb annie meine schwester,
ede04e87-25df-4a38-880b-812c340671e5,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-23T20:31:57.875Z,2026-05-26T11:49:48.248Z,task,Lilli möchte am 3 juli mit mir nach Köln fahren zu till Reiners. Und ich finde die Idee voll gut. Ich möchte ihr bis Dienstag Bescheid geben,Lilli möchte am 3 juli mit mir nach Köln fahren zu till Reiners. Und ich finde die Idee voll gut. Ich möchte ihr bis Dienstag Bescheid geben,lilli möchte am 3 juli mit mir nach köln fahren zu till reiners. und ich finde die idee voll gut. ich möchte ihr bis dienstag bescheid geben,
8ef187f1-9f45-4f9b-9e02-24e22d5773fa,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-23T15:35:04.703Z,2026-05-26T11:49:48.248Z,task,Ich muss heute Abend noch das Logo für eigenmesh bauen,Ich muss heute Abend noch das Logo für eigenmesh bauen,ich muss heute abend noch das logo für eigenmesh bauen,
0de85b7d-2c77-4f41-9ffe-c39318e2709b,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-22T19:59:40.124Z,2026-05-26T11:49:48.248Z,task,Wir müssen morgen also wir müssen bis morgen marten noch bescheid sagen ob wir ihn treffen und wann wen treffen,Wir müssen morgen also wir müssen bis morgen marten noch bescheid sagen ob wir ihn treffen und wann wen treffen,wir müssen morgen also wir müssen bis morgen marten noch bescheid sagen ob wir ihn treffen und wann wen treffen,completed
c137efb1-14b1-44c9-b54e-d7611fb66dc4,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-22T09:13:44.856Z,2026-05-26T11:49:48.248Z,task,Ich möchte für eigen vitest-evals ausprobieren https://github.com/getsentry/vitest-evals,Ich möchte für eigen vitest-evals ausprobieren https://github.com/getsentry/vitest-evals,ich möchte für eigen vitest-evals ausprobieren https://github.com/getsentry/vitest-evals,
9414996d-4964-4c06-864a-1363ea6c5983,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-22T07:05:04.349Z,2026-05-26T11:49:48.248Z,idea,Bei capture in der App soll der Gedankengang gespeichert werden um es nachvollziehbar zu machen,Bei capture in der App soll der Gedankengang gespeichert werden um es nachvollziehbar zu machen,bei capture in der app soll der gedankengang gespeichert werden um es nachvollziehbar zu machen,
fa8c8796-148f-4805-a8e9-6ccd26bcfaaa,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-22T07:02:54.458Z,2026-05-26T11:49:48.248Z,task,Timeline item fixen für Wörter wie später,Timeline item fixen für Wörter wie später,timeline item fixen für wörter wie später,
c355e8c8-d14a-4f37-a290-f166c398feb4,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-22T07:01:42.301Z,2026-05-26T11:49:48.248Z,reference,Ich möchte diesen Artikel später lesen https://towardsdatascience.com/proxy-pointer-rag-solving-entity-and-relationship-sprawl-in-large-knowledge-graphs/,Ich möchte diesen Artikel später lesen https://towardsdatascience.com/proxy-pointer-rag-solving-entity-and-relationship-sprawl-in-large-knowledge-graphs/,ich möchte diesen artikel später lesen https://towardsdatascience.com/proxy-pointer-rag-solving-entity-and-relationship-sprawl-in-large-knowledge-graphs/,
4f8e5c42-bfb4-4cf5-b4ac-6dede19bfca1,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-21T16:32:21.185Z,2026-05-26T11:49:48.248Z,reference,"Ach so, das ist noch eine wichtige Info. Die Boje für meine ähm für das Start-up Cerberus heißt Hydra.","Ach so, das ist noch eine wichtige Info. Die Boje für meine ähm für das Start-up Cerberus heißt Hydra.","ach so, das ist noch eine wichtige info. die boje für meine ähm für das start-up cerberus heißt hydra.",
061bb8f9-4a33-4764-befe-76dd08774026,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-21T16:28:04.112Z,2026-05-26T11:49:48.248Z,task,ich muss für die hydra das batteriepack in cad einbauen und ändern,ich muss für die hydra das batteriepack in cad einbauen und ändern,ich muss für die hydra das batteriepack in cad einbauen und ändern,
72e39354-6228-4dc8-b41f-2d672b57bfe5,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-21T13:57:02.343Z,2026-05-26T11:49:48.248Z,task,Ich muss für die Firma kindred digital labs Überschuldung vermeiden und noch andere Sachen die ich in mein Google notes gespeichert habe die meine Notarin mir empfohlen hat,Ich muss für die Firma kindred digital labs Überschuldung vermeiden und noch andere Sachen die ich in mein Google notes gespeichert habe die meine Notarin mir empfohlen hat,ich muss für die firma kindred digital labs überschuldung vermeiden und noch andere sachen die ich in mein google notes gespeichert habe die meine notarin mir empfohlen hat,
25800d1a-710c-4ad9-b577-308df08792e1,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-21T07:16:27.719Z,2026-05-26T11:49:48.248Z,idea,"Der Hüter / Guardian
schützt Wissen
bewahrt Autonomie
schafft Sicherheit
stabil & vertrauenswürdig
Sekundärer Archetyp
Der Kartograph / Explorer
verbindet Ideen
macht Muster sichtbar
erweitert Denken

Das finde ich als Branding spannend",Der Hüter / Guardian schützt Wissen bewahrt Autonomie schafft Sicherheit stabil & vertrauenswürdig Sekundärer Archetyp Der Kartograph / Explorer verbindet Ideen macht Muster sichtbar erweitert Denken Das finde ich als Branding spannend,der hüter / guardian schützt wissen bewahrt autonomie schafft sicherheit stabil & vertrauenswürdig sekundärer archetyp der kartograph / explorer verbindet ideen macht muster sichtbar erweitert denken das finde ich als branding spannend,
a4083982-5036-4aba-bcda-e0f1e986461b,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-21T07:09:59.872Z,2026-05-26T11:49:48.248Z,idea,Da gibt es eine Möglichkeit Nutzer Erinnerung zu verschlüsseln,Da gibt es eine Möglichkeit Nutzer Erinnerung zu verschlüsseln,da gibt es eine möglichkeit nutzer erinnerung zu verschlüsseln,
1e272dbf-c6bc-4629-8c72-4b3d10d16495,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-21T06:56:37.400Z,2026-05-26T11:49:48.248Z,observation,Oh die Edit-Funktion ist kaputt ich der fügt nur neue notes hinzu anstatt die alten zu bearbeiten,Oh die Edit-Funktion ist kaputt ich der fügt nur neue notes hinzu anstatt die alten zu bearbeiten,oh die edit-funktion ist kaputt ich der fügt nur neue notes hinzu anstatt die alten zu bearbeiten,
08705d89-6881-40e0-99d7-6968b0a0626b,YbkaffLSwQispI2C5xVp5wEqKEB9JPLO,2026-05-21T06:54:10.087Z,2026-05-26T11:49:48.248Z,idea,Ein queue system nicht iq system,Ein queue system nicht iq system,ein queue system nicht iq system,
